Gene	Experiment	Gene_log2FoldChange	Gene_pvalue	asRNA_ids	asRNA_log2FoldChange	asRNA_pvalue
SACI_RS00110	DESeq2_75C_pH_1_6_stat	0.37	0.0102822611793614	asRNA_8, asRNA_9	2.01, 0.59	0.357830210701563, 0.682537054106564
SACI_RS00110	DESeq2_75C_pH_2_4_stat	0.38	0.0081331242422548	asRNA_8, asRNA_9	1.07, -0.13	0.635934722340656, 0.932620011716466
SACI_RS00110	DESeq2_75C_pH_3_5_log	0.16	0.404866514935643	asRNA_8, asRNA_9	0.0, 0.35	1.0, 0.849049318914138
SACI_RS00110	DESeq2_75C_pH_3_5_stat	0.22	0.117059016862185	asRNA_8, asRNA_9	1.96, -0.57	0.373833678624693, 0.714142779632189
SACI_RS00110	DESeq2_80C_pH_1_6_log	0.01	0.919659195034915	asRNA_8, asRNA_9	1.7, -2.16	0.441923263289893, 0.222753962042408
SACI_RS00110	DESeq2_80C_pH_1_6_stat	-0.06	0.682215455281054	asRNA_8, asRNA_9	2.96, 0.51	0.15368872007402, 0.722054383406132
SACI_RS00110	DESeq2_80C_pH_2_4_log	0.19	0.180753614971382	asRNA_8, asRNA_9	2.39, 0.2	0.25117278579849, 0.8866716574615
SACI_RS00110	DESeq2_80C_pH_2_4_stat	0.04	0.768142203656666	asRNA_8, asRNA_9	2.74, -2.85	0.193928588475721, 0.107541339934796
SACI_RS00110	DESeq2_80C_pH_3_5_log	-0.06	0.687580016955168	asRNA_8, asRNA_9	0.0, -2.06	1.0, 0.24353178011001
SACI_RS00110	DESeq2_80C_pH_3_5_stat	0.02	0.900565087265063	asRNA_8, asRNA_9	3.05, -2.95	0.14087312777403, 0.095844056700899
SACI_RS00110	DESeq2_RS0060KO_early	-0.04	0.717246050145425	asRNA_8, asRNA_9	0.01, 0.94	0.992171171548108, 0.216817162862417
SACI_RS00110	DESeq2_RS0060KO_late	-0.23	0.0560439398287147	asRNA_8, asRNA_9	-1.01, 0.02	0.316994838641294, 0.979899419557315
SACI_RS00110	DESeq2_RS0575KO_early	0.13	0.262267932961787	asRNA_8, asRNA_9	-0.08, 0.4	0.943829026748244, 0.613509873455498
SACI_RS00110	DESeq2_RS0575KO_late	-0.33	0.0055475427224094	asRNA_8, asRNA_9	0.22, 0.12	0.812637382044791, 0.848545159441216
SACI_RS00110	DESeq2_RS0730KO_early	-0.33	0.0060061332964719	asRNA_8, asRNA_9	-0.0, 1.24	0.997668939603042, 0.0841641460179167
SACI_RS00110	DESeq2_RS0730KO_late	-0.18	0.145620090238099	asRNA_8, asRNA_9	-0.58, -0.08	0.582731421764844, 0.909961346191574
SACI_RS00110	DESeq2_RS2625KO_early	-0.37	0.002266070856729	asRNA_8, asRNA_9	0.76, 1.59	0.503057513983187, 0.0301844748635285
SACI_RS00110	DESeq2_RS2625KO_late	-0.26	0.0309419493129379	asRNA_8, asRNA_9	-0.06, 0.31	0.949784411902278, 0.615891039129842
SACI_RS00110	DESeq2_dKO_early	0.16	0.194157535515162	asRNA_8, asRNA_9	0.53, 1.64	0.638470010477443, 0.0230322850613699
SACI_RS00110	DESeq2_dKO_late	-0.35	0.0038993972404868	asRNA_8, asRNA_9	1.03, -0.15	0.244697030163438, 0.821540408445768
SACI_RS00110	DESeq2_post-starvation-030min	-0.26	0.257345590250465	asRNA_8, asRNA_9	-0.82, -0.68	0.0580461067168946, 0.0096933226460348
SACI_RS00110	DESeq2_post-starvation-060min	-0.56	0.0164037097725727	asRNA_8, asRNA_9	-1.04, -1.28	0.0241248112785215, 8.64273603029756e-06
SACI_RS00110	DESeq2_post-starvation-090min	-0.62	0.0078538766049262	asRNA_8, asRNA_9	-0.65, -1.07	0.130866905947685, 0.0001345300081132
SACI_RS00110	DESeq2_post-starvation-120min	-0.82	0.0004702734823291	asRNA_8, asRNA_9	-0.46, -1.34	0.267899874137369, 3.48090892124888e-06
SACI_RS00110	DESeq2_post-starvation-240min	-1.6	1.0814228948191e-11	asRNA_8, asRNA_9	0.12, -1.59	0.770784360651269, 2.66305555560871e-07
SACI_RS00115	DESeq2-t15-Sacidocaldarius-HS	-1.6	4.0165411724993e-70	asRNA_10, asRNA_11	1.22, -0.69	0.22343493799089, 0.2138964965222
SACI_RS00115	DESeq2-t30-Sacidocaldarius-HS	-1.7	3.70261384877589e-78	asRNA_10, asRNA_11	0.11, -1.11	0.922901588384947, 0.0590755776861924
SACI_RS00115	DESeq2-t60-Sacidocaldarius-HS	-1.58	3.2401304091044902e-68	asRNA_10, asRNA_11	-0.02, -1.92	0.982714226897672, 0.0025370557749904
SACI_RS00115	DESeq2_65C_pH_1_6_log	-0.31	0.0340217752053548	asRNA_10, asRNA_11	-0.71, 3.39	0.929548397345355, 0.000291985636901
SACI_RS00115	DESeq2_65C_pH_1_6_stat	0.19	0.387576102090184	asRNA_10, asRNA_11	0.0, 0.51	1.0, 0.704086810133592
SACI_RS00115	DESeq2_65C_pH_2_4_log	0.03	0.873097524496877	asRNA_10, asRNA_11	0.24, 3.25	0.978501461362273, 0.000951980829177
SACI_RS00115	DESeq2_65C_pH_2_4_stat	0.16	0.338955634911456	asRNA_10, asRNA_11	1.38, 3.35	0.878167008976658, 0.0006568771420544
SACI_RS00115	DESeq2_65C_pH_3_5_log	-0.12	0.593751374079222	asRNA_10, asRNA_11	0.0, 2.83	1.0, 0.0183414778800355
SACI_RS00115	DESeq2_65C_pH_3_5_stat	0.02	0.912487985570625	asRNA_10, asRNA_11	2.33, 2.0	0.794724208356467, 0.0477627637985146
SACI_RS00115	DESeq2_75C_pH_1_6_log	-0.0	0.99106148348991	asRNA_10, asRNA_11	0.0, 0.19	1.0, 0.86977471195902
SACI_RS00115	DESeq2_75C_pH_1_6_stat	0.72	1.3355004121152e-05	asRNA_10, asRNA_11	2.14, 0.55	0.811679990314406, 0.617534357493272
SACI_RS00115	DESeq2_75C_pH_2_4_stat	0.1	0.530885587021652	asRNA_10, asRNA_11	1.07, 0.65	0.904961345282643, 0.55290901331519
SACI_RS00115	DESeq2_75C_pH_3_5_log	0.14	0.540091157551762	asRNA_10, asRNA_11	0.0, 0.08	1.0, 0.954400653828108
SACI_RS00115	DESeq2_75C_pH_3_5_stat	0.24	0.153982353178795	asRNA_10, asRNA_11	0.0, 0.17	1.0, 0.878472721483118
SACI_RS00115	DESeq2_80C_pH_1_6_log	0.36	0.0295554451875301	asRNA_10, asRNA_11	0.0, 0.46	1.0, 0.67619288922117
SACI_RS00115	DESeq2_80C_pH_1_6_stat	0.8	1.058729682113e-06	asRNA_10, asRNA_11	0.0, 1.05	1.0, 0.322092641189465
SACI_RS00115	DESeq2_80C_pH_2_4_log	0.47	0.0045443188904097	asRNA_10, asRNA_11	0.0, 0.99	1.0, 0.339924091951315
SACI_RS00115	DESeq2_80C_pH_2_4_stat	0.1	0.531327847573269	asRNA_10, asRNA_11	1.24, 1.21	0.890125955481172, 0.253751581493997
SACI_RS00115	DESeq2_80C_pH_3_5_log	0.19	0.258233971499482	asRNA_10, asRNA_11	0.0, 1.08	1.0, 0.307045469997488
SACI_RS00115	DESeq2_80C_pH_3_5_stat	0.43	0.009457669598656	asRNA_10, asRNA_11	1.14, -0.33	0.898830600184367, 0.784407408662579
SACI_RS00115	DESeq2_RS0060KO_early	0.09	0.399372922235567	asRNA_10, asRNA_11	2.87, 0.49	0.14042579913739, 0.42959834531677
SACI_RS00115	DESeq2_RS0060KO_late	0.09	0.352772885017418	asRNA_10, asRNA_11	1.44, -0.07	0.392597771048979, 0.90367293546271
SACI_RS00115	DESeq2_RS0575KO_early	0.15	0.140121996516255	asRNA_10, asRNA_11	-1.29, 0.01	0.584539717351662, 0.987218849219139
SACI_RS00115	DESeq2_RS0575KO_late	-0.52	1.53719565125091e-07	asRNA_10, asRNA_11	2.84, 0.58	0.0825489252371703, 0.32703032432179
SACI_RS00115	DESeq2_RS0730KO_early	-0.0	0.998303657998882	asRNA_10, asRNA_11	0.76, 0.75	0.717377462666445, 0.195052638930997
SACI_RS00115	DESeq2_RS0730KO_late	-0.04	0.688280788089767	asRNA_10, asRNA_11	0.79, -0.83	0.664800389843143, 0.273933911343844
SACI_RS00115	DESeq2_RS2625KO_early	-0.25	0.0147289374971842	asRNA_10, asRNA_11	1.95, 0.79	0.340133014954558, 0.198146364411552
SACI_RS00115	DESeq2_RS2625KO_late	-0.01	0.893419726010667	asRNA_10, asRNA_11	2.05, -0.02	0.216465633326384, 0.978076740049874
SACI_RS00115	DESeq2_dKO_early	-0.12	0.254047834708944	asRNA_10, asRNA_11	1.73, 0.19	0.396964357180934, 0.759646495683297
SACI_RS00115	DESeq2_dKO_late	-0.67	2.26685647775604e-11	asRNA_10, asRNA_11	1.61, 0.03	0.341633815603655, 0.965602513319151
SACI_RS00115	DESeq2_post-starvation-030min	-0.16	0.270028943338015	asRNA_10, asRNA_11	-0.59, -1.78	0.407842772174076, 1.15264825441406e-07
SACI_RS00115	DESeq2_post-starvation-060min	0.02	0.878883796717435	asRNA_10, asRNA_11	-0.56, -2.19	0.434024658305225, 6.25091684093451e-10
SACI_RS00115	DESeq2_post-starvation-090min	0.38	0.0069480998969384	asRNA_10, asRNA_11	-1.36, -2.9	0.0889521587375213, 5.5546347076820104e-14
SACI_RS00115	DESeq2_post-starvation-120min	0.54	0.0001260016414932	asRNA_10, asRNA_11	-0.35, -2.58	0.619350561308811, 2.29217147629983e-12
SACI_RS00115	DESeq2_post-starvation-240min	0.46	0.0013860133788089	asRNA_10, asRNA_11	0.1, -3.34	0.888788649451644, 4.402444536836361e-15
SACI_RS00125	DESeq2-t15-Sacidocaldarius-HS	-0.06	0.537756735591814	asRNA_12	0.65	0.575574837082412
SACI_RS00125	DESeq2-t30-Sacidocaldarius-HS	-0.16	0.102898581453857	asRNA_12	-0.24	0.84920391624595
SACI_RS00125	DESeq2-t60-Sacidocaldarius-HS	-0.05	0.618302281501952	asRNA_12	-0.39	0.755166850141112
SACI_RS00125	DESeq2_65C_pH_1_6_log	0.62	3.17080221042901e-09	asRNA_12	0.25	0.975794116114193
SACI_RS00125	DESeq2_65C_pH_1_6_stat	0.33	0.0363866511667031	asRNA_12	-1.82	0.882953391094145
SACI_RS00125	DESeq2_65C_pH_2_4_log	0.34	0.0033812247171532	asRNA_12	-1.04	0.91015660772197
SACI_RS00125	DESeq2_65C_pH_2_4_stat	0.25	0.0379154843670639	asRNA_12	-0.59	0.948478439195503
SACI_RS00125	DESeq2_65C_pH_3_5_log	0.26	0.108223721527584	asRNA_12	-1.2	0.922684406327
