Gene	asRNA	Correlation	Correlation_pvalue	Num_experiments
SACI_RS03355	asRNA_285	-0.04958934211358263	0.7772581309630823	35
SACI_RS03375	asRNA_287	0.40908505896548014	0.014681976467233493	35
SACI_RS03375	asRNA_288	-0.20352653648813981	0.24092662605410048	35
SACI_RS03385	asRNA_289	-0.6246722699465397	6.046042878366714e-05	35
SACI_RS03390	asRNA_290	-0.24463633460421536	0.1566722850191557	35
SACI_RS03400	asRNA_292	-0.007704071993826539	0.9649656074068674	35
SACI_RS03400	asRNA_293	0.1427628603297062	0.4132852139471165	35
SACI_RS03415	asRNA_295	-0.3241856799180475	0.05744296096314824	35
SACI_RS03425	asRNA_296	0.2854799736250695	0.09643580978759818	35
SACI_RS03425	asRNA_297	-0.36689078177462064	0.0301613839463321	35
SACI_RS03430	asRNA_298	-0.025298224116575917	0.885300106032437	35
SACI_RS03455	asRNA_299	0.33983967689501043	0.04578238745804647	35
SACI_RS03460	asRNA_300	0.32559976333572976	0.05630149015065243	35
SACI_RS03465	asRNA_300	-0.6144647240031785	8.607107943562336e-05	35
SACI_RS03495	asRNA_1007			0
SACI_RS03495	asRNA_301	0.12343232351451318	0.4799246323441394	35
SACI_RS03495	asRNA_302	0.09811360434657605	0.5749861292319022	35
SACI_RS03515	asRNA_303	-0.0895545723665104	0.6089305575305652	35
SACI_RS03520	asRNA_304	-0.8556493181169671	5.797721207800516e-11	35
SACI_RS03525	asRNA_305	-0.3964639423765241	0.018379861302160155	35
SACI_RS03525	asRNA_306	-0.3900490574329827	0.020538972975476077	35
SACI_RS03535	asRNA_1008			0
SACI_RS03550	asRNA_307	-0.0055555818642909205	0.9747321829028666	35
SACI_RS03555	asRNA_308	-0.2080233998938747	0.23046563339920823	35
SACI_RS03560	asRNA_309	-0.4992547940138424	0.002264265843295151	35
SACI_RS03610	asRNA_312	0.09517824930102237	0.5865311120846315	35
SACI_RS03615	asRNA_313	-0.17561423953010644	0.3129334842507197	35
SACI_RS03615	asRNA_314	0.30988120359995924	0.07004981931970017	35
SACI_RS03625	asRNA_315	0.22229415676495273	0.19932459030606373	35
SACI_RS03625	asRNA_316	0.07058945869412309	0.6869852944826227	35
SACI_RS03635	asRNA_1009			0
SACI_RS03645	asRNA_317	0.5620474349010685	0.00044193544718106487	35
SACI_RS03655	asRNA_318	0.584357605343609	0.00022790715448168622	35
SACI_RS03660	asRNA_319	0.12238453647692102	0.48368918975902764	35
SACI_RS03665	asRNA_320	-0.39209158207678424	0.019829741574100827	35
SACI_RS03665	asRNA_321	0.020405671510709364	0.9073757549630256	35
SACI_RS03700	asRNA_322	0.46257826219569986	0.005143144272426364	35
SACI_RS03700	asRNA_323	-0.16168280716616124	0.35345161136983405	35
SACI_RS03705	asRNA_324	-0.04535309925378301	0.7958658026143782	35
SACI_RS03720	asRNA_326	-0.10453385119740555	0.56910527531581	32
SACI_RS03720	asRNA_327	-0.3354858531322283	0.04881565764431619	35
SACI_RS03740	asRNA_328	-0.19124617900486596	0.27109951914283587	35
SACI_RS03740	asRNA_329	-0.008050009990336827	0.963393479300639	35
SACI_RS03740	asRNA_330	0.36128619258703887	0.03297476783652426	35
SACI_RS03770	asRNA_331	0.027047174577286667	0.8774283707720807	35
SACI_RS03770	asRNA_332	0.26985624664756297	0.11693813396891513	35
SACI_RS03780	asRNA_334	0.08479577949042688	0.6281633478165787	35
SACI_RS03780	asRNA_335	0.515746395643512	0.001519004671041957	35
SACI_RS03785	asRNA_336	0.22520215191086215	0.19335737755627597	35
SACI_RS03790	asRNA_336	-0.12479916599975223	0.475036753383034	35
SACI_RS03790	asRNA_337	-0.5094489492806568	0.0017732918413308305	35
SACI_RS03795	asRNA_337	-0.1632374546703919	0.348779811968795	35
SACI_RS03805	asRNA_338	-0.310057662508216	0.06988210962434824	35
SACI_RS03805	asRNA_339	-0.130600184806597	0.4545853167489203	35
SACI_RS03810	asRNA_340	0.18898702844286766	0.27690768500315843	35
SACI_RS03815	asRNA_341	-0.2465569854986155	0.15334136782650618	35
SACI_RS03820	asRNA_342	0.19037411745222968	0.27333203937801226	35
SACI_RS03820	asRNA_343	0.1635925917583552	0.3477178798974147	35
SACI_RS03835	asRNA_344	0.3258218261830393	0.056123884859860806	35
SACI_RS03875	asRNA_345	-0.46398877494576873	0.004991462924150425	35
SACI_RS03875	asRNA_346	0.6282618386992054	5.324004158358792e-05	35
SACI_RS03885	asRNA_347	0.5169718298607244	0.0014734275332548429	35
SACI_RS03890	asRNA_348	0.5068635355185853	0.001888033917144261	35
SACI_RS03890	asRNA_349	0.20256444020917358	0.24320548591739655	35
SACI_RS03900	asRNA_350	-0.335224527967524	0.04900271647974375	35
SACI_RS03920	asRNA_351	-0.02309163528098854	0.8952469287865941	35
SACI_RS03935	asRNA_352	0.5820151782100073	0.0002448694489134965	35
SACI_RS03940	asRNA_353	0.30378523354568976	0.07603936875928863	35
SACI_RS03945	asRNA_354	0.3296195159457814	0.05315478483589557	35
SACI_RS03990	asRNA_356	0.14605665205801255	0.4024774587418957	35
SACI_RS03990	asRNA_357	0.32162868098633884	0.05955353319011431	35
SACI_RS03995	asRNA_357	0.3763483042177245	0.025861366592514066	35
SACI_RS04000	asRNA_358	0.2950362391935594	0.0853227666324446	35
SACI_RS04005	asRNA_358	0.26431252322708065	0.12494669014253097	35
SACI_RS04040	asRNA_361	0.008485904923924276	0.9614127325142234	35
SACI_RS04045	asRNA_361	0.2612616446786805	0.1295243796706795	35
SACI_RS04045	asRNA_362	-0.1304371073449043	0.45515369886155727	35
SACI_RS04050	asRNA_363	0.3349412629942076	0.04920612744401754	35
SACI_RS04055	asRNA_363	0.04889555323158085	0.7802975589911563	35
SACI_RS04065	asRNA_364	0.49893093239457764	0.002281637722541969	35
SACI_RS04090	asRNA_366	0.3938883396730575	0.01922281528187465	35
SACI_RS04095	asRNA_367	-0.32785925230731905	0.054515039272867424	35
SACI_RS04095	asRNA_368	-0.27570122792384766	0.10891729032485442	35
SACI_RS04110	asRNA_369	0.1482152037602296	0.3954832788686114	35
SACI_RS04145	asRNA_1012			0
SACI_RS04150	asRNA_373	0.18289878334947351	0.29296006415257236	35
SACI_RS04165	asRNA_374	0.2885127869506322	0.0927955485676213	35
SACI_RS04180	asRNA_378	0.13987423663253343	0.4228969154814285	35
SACI_RS04185	asRNA_379	0.1808212132228957	0.2985713816305476	35
SACI_RS04200	asRNA_380	0.40220575316420143	0.01661120402221328	35
SACI_RS04205	asRNA_381	-0.05364089714467058	0.7595748430257956	35
SACI_RS04210	asRNA_382	0.20916941334494382	0.22784969934254362	35
SACI_RS04215	asRNA_383	-0.10004857137400933	0.5674322718368715	35
SACI_RS04220	asRNA_384	0.26799171378907305	0.11958755720550689	35
SACI_RS04230	asRNA_385	0.3196769359187127	0.06120543003974968	35
SACI_RS04230	asRNA_386	-0.04129379157759796	0.8138009170781387	35
SACI_RS04230	asRNA_387	-0.14604152347732768	0.4025267268145127	35
SACI_RS04235	asRNA_388	-0.08345873183653355	0.6336114115309475	35
SACI_RS04235	asRNA_389	0.40013047434861143	0.017233249359040546	35
SACI_RS04270	asRNA_391	0.543891217180437	0.0007325474485943293	35
SACI_RS04275	asRNA_391	0.5258819621786252	0.001176614627431567	35
SACI_RS04285	asRNA_392	-0.009754605171708857	0.9556489763443997	35
SACI_RS04290	asRNA_393	-0.5048262982482028	0.001982974431766135	35
SACI_RS04295	asRNA_394	-0.615547647596095	8.295394204886213e-05	35
SACI_RS04300	asRNA_395	0.1473681191963104	0.39821962567461033	35
SACI_RS04300	asRNA_396	0.4532283459024683	0.006252613516471798	35
SACI_RS04315	asRNA_397	0.40389434879039093	0.0161190356423016	35
SACI_RS04335	asRNA_399	0.11996898268127065	0.4924258282316019	35
SACI_RS04340	asRNA_400	-0.0726148224515344	0.6784776783377856	35
SACI_RS04350	asRNA_401	0.45830949887115546	0.005626626953532389	35
SACI_RS04350	asRNA_402	-0.07627647020728413	0.6631961597621059	35
SACI_RS04355	asRNA_403	-0.1719309220808668	0.3233504455245222	35
SACI_RS04360	asRNA_404	-0.43503591545268655	0.009007981282794312	35
SACI_RS04375	asRNA_407	0.1461314234124817	0.40223400732369674	35
SACI_RS04395	asRNA_408	-0.6732089015183251	9.361906893575496e-06	35
SACI_RS04415	asRNA_410	0.2877872930314838	0.09365662742870638	35
SACI_RS04425	asRNA_411	-0.18407657202679384	0.2898091591811954	35
SACI_RS04430	asRNA_412	-0.40578425929103135	0.01558274067946465	35
